Edge { left: 1220, right: 6646, weight: Weight(318) }
Edge { left: 1220, right: 9719, weight: Weight(597) }
Edge { left: 1508, right: 6753, weight: Weight(918) }
Edge { left: 203, right: 6753, weight: Weight(717) }
Edge { left: 1220, right: 9103, weight: Weight(1008) }
Edge { left: 7033, right: 9103, weight: Weight(978) }
Edge { left: 1841, right: 7033, weight: Weight(779) }
Edge { left: 1841, right: 4053, weight: Weight(669) }
Edge { left: 4053, right: 6845, weight: Weight(801) }
Edge { left: 6845, right: 8865, weight: Weight(461) }
Edge { left: 7144, right: 8865, weight: Weight(366) }
Edge { left: 340, right: 7144, weight: Weight(364) }
Edge { left: 340, right: 4286, weight: Weight(304) }
Edge { left: 2624, right: 4286, weight: Weight(335) }
Edge { left: 1453, right: 4286, weight: Weight(404) }
Edge { left: 549, right: 2624, weight: Weight(578) }
Edge { left: 549, right: 3390, weight: Weight(676) }
Edge { left: 3390, right: 6071, weight: Weight(351) }
Edge { left: 6071, right: 7420, weight: Weight(104) }
Edge { left: 1841, right: 4348, weight: Weight(890) }
Edge { left: 1569, right: 6845, weight: Weight(1087) }
Edge { left: 1569, right: 9200, weight: Weight(454) }
Edge { left: 8254, right: 9200, weight: Weight(86) }
Edge { left: 3190, right: 8254, weight: Weight(305) }
Edge { left: 7933, right: 8254, weight: Weight(679) }
Edge { left: 2312, right: 7933, weight: Weight(388) }
Edge { left: 2312, right: 6658, weight: Weight(755) }
Edge { left: 293, right: 610, weight: Weight(1090) }
Edge { left: 293, right: 5393, weight: Weight(830) }
Edge { left: 2493, right: 5393, weight: Weight(215) }
Edge { left: 2493, right: 6483, weight: Weight(741) }
Edge { left: 6483, right: 9471, weight: Weight(350) }
Edge { left: 5559, right: 9471, weight: Weight(390) }
Edge { left: 6483, right: 9389, weight: Weight(740) }
Edge { left: 3901, right: 9389, weight: Weight(855) }
Edge { left: 4389, right: 5559, weight: Weight(933) }
Edge { left: 4389, right: 7141, weight: Weight(255) }
Edge { left: 7141, right: 9255, weight: Weight(479) }
Edge { left: 108, right: 293, weight: Weight(1004) }
Edge { left: 108, right: 7747, weight: Weight(379) }
Edge { left: 108, right: 5875, weight: Weight(693) }
Edge { left: 5875, right: 7871, weight: Weight(404) }
Edge { left: 5166, right: 7871, weight: Weight(853) }
Edge { left: 1840, right: 5166, weight: Weight(503) }
Edge { left: 1838, right: 1840, weight: Weight(174) }
Edge { left: 1838, right: 3873, weight: Weight(364) }
Edge { left: 1840, right: 8270, weight: Weight(424) }
Edge { left: 3392, right: 8270, weight: Weight(343) }
Edge { left: 962, right: 3392, weight: Weight(528) }
Edge { left: 3392, right: 6591, weight: Weight(615) }
Edge { left: 3873, right: 7204, weight: Weight(701) }
Edge { left: 962, right: 9685, weight: Weight(851) }
Edge { left: 9456, right: 9685, weight: Weight(217) }
Edge { left: 4304, right: 9456, weight: Weight(476) }
Edge { left: 947, right: 9456, weight: Weight(712) }
Edge { left: 947, right: 7290, weight: Weight(515) }
Edge { left: 6118, right: 7290, weight: Weight(411) }
Edge { left: 2062, right: 4304, weight: Weight(831) }
Edge { left: 4452, right: 7747, weight: Weight(920) }
Edge { left: 1554, right: 7290, weight: Weight(947) }
Edge { left: 2694, right: 6118, weight: Weight(1025) }
Edge { left: 2694, right: 3347, weight: Weight(707) }
Edge { left: 3347, right: 6850, weight: Weight(718) }
Edge { left: 6850, right: 7837, weight: Weight(584) }
Edge { left: 7520, right: 7837, weight: Weight(224) }
Edge { left: 4994, right: 7837, weight: Weight(587) }
Edge { left: 337, right: 4994, weight: Weight(143) }
Edge { left: 1959, right: 7520, weight: Weight(1030) }
Edge { left: 1959, right: 8324, weight: Weight(600) }
Edge { left: 1309, right: 8324, weight: Weight(782) }
Edge { left: 1309, right: 3569, weight: Weight(681) }
Edge { left: 3296, right: 3569, weight: Weight(1004) }
Edge { left: 3296, right: 6050, weight: Weight(1075) }
Edge { left: 1576, right: 6050, weight: Weight(747) }
Edge { left: 1576, right: 8558, weight: Weight(658) }
