Edge { left: 482, right: 927, weight: Weight(318)
Edge { left: 191, right: 918, weight: Weight(2053)
Edge { left: 363, right: 918, weight: Weight(2249)
Edge { left: 363, right: 994, weight: Weight(2183)
Edge { left: 952, right: 994, weight: Weight(2873)
Edge { left: 504, right: 923, weight: Weight(3107)
Edge { left: 504, right: 881, weight: Weight(997)
Edge { left: 627, right: 881, weight: Weight(958)
Edge { left: 627, right: 969, weight: Weight(1428)
Edge { left: 495, right: 504, weight: Weight(1491)
Edge { left: 310, right: 495, weight: Weight(3015)
Edge { left: 214, right: 310, weight: Weight(1461)
Edge { left: 214, right: 970, weight: Weight(2917)
Edge { left: 904, right: 987, weight: Weight(3137)
Edge { left: 948, right: 987, weight: Weight(1489)
Edge { left: 546, right: 948, weight: Weight(2385)
Edge { left: 490, right: 546, weight: Weight(2213)
Edge { left: 676, right: 927, weight: Weight(3190)
Edge { left: 676, right: 734, weight: Weight(2359)
Edge { left: 292, right: 734, weight: Weight(2004)
Edge { left: 248, right: 292, weight: Weight(1827)
Edge { left: 47, right: 248, weight: Weight(1310)
Edge { left: 47, right: 207, weight: Weight(1773)
Edge { left: 207, right: 791, weight: Weight(1797)
Edge { left: 596, right: 791, weight: Weight(908)
Edge { left: 255, right: 734, weight: Weight(2087)
Edge { left: 596, right: 698, weight: Weight(2462)
Edge { left: 32, right: 47, weight: Weight(2629)
Edge { left: 25, right: 32, weight: Weight(981)
Edge { left: 207, right: 528, weight: Weight(3133)
Edge { left: 528, right: 666, weight: Weight(2476)
Edge { left: 788, right: 970, weight: Weight(3216)
Edge { left: 158, right: 788, weight: Weight(2125)
Edge { left: 158, right: 573, weight: Weight(2477)
Edge { left: 488, right: 573, weight: Weight(1627)
Edge { left: 219, right: 488, weight: Weight(1993)
Edge { left: 219, right: 487, weight: Weight(2739)
Edge { left: 487, right: 610, weight: Weight(1253)
Edge { left: 577, right: 610, weight: Weight(2641)
Edge { left: 346, right: 577, weight: Weight(1768)
Edge { left: 346, right: 751, weight: Weight(1059)
Edge { left: 788, right: 803, weight: Weight(2928)
Edge { left: 131, right: 803, weight: Weight(1847)
Edge { left: 131, right: 344, weight: Weight(2508)
Edge { left: 167, right: 751, weight: Weight(3228)
Edge { left: 167, right: 870, weight: Weight(1240)
Edge { left: 344, right: 677, weight: Weight(3235)
Edge { left: 368, right: 677, weight: Weight(2422)
Edge { left: 368, right: 446, weight: Weight(1602)
Edge { left: 446, right: 954, weight: Weight(851)
Edge { left: 112, right: 954, weight: Weight(1076)
Edge { left: 112, right: 419, weight: Weight(2488)
Edge { left: 419, right: 850, weight: Weight(465)
Edge { left: 457, right: 850, weight: Weight(793)
Edge { left: 457, right: 776, weight: Weight(969)
Edge { left: 511, right: 776, weight: Weight(2047)
Edge { left: 253, right: 511, weight: Weight(1570)
Edge { left: 253, right: 919, weight: Weight(1465)
Edge { left: 253, right: 324, weight: Weight(1658)
Edge { left: 203, right: 324, weight: Weight(1341)
Edge { left: 203, right: 808, weight: Weight(1736)
Edge { left: 455, right: 808, weight: Weight(452)
Edge { left: 169, right: 455, weight: Weight(1980)
Edge { left: 672, right: 808, weight: Weight(2177)
Edge { left: 312, right: 324, weight: Weight(2263)
Edge { left: 52, right: 312, weight: Weight(2347)
Edge { left: 643, right: 672, weight: Weight(2405)
Edge { left: 643, right: 949, weight: Weight(1575)
Edge { left: 143, right: 949, weight: Weight(884)
Edge { left: 143, right: 154, weight: Weight(1943)
Edge { left: 154, right: 906, weight: Weight(423)
Edge { left: 75, right: 906, weight: Weight(1607)
Edge { left: 75, right: 929, weight: Weight(1865)
Edge { left: 784, right: 949, weight: Weight(2072)
Edge { left: 52, right: 321, weight: Weight(2587)
Edge { left: 190, right: 457, weight: Weight(2589)
Edge { left: 190, right: 852, weight: Weight(1579)
Edge { left: 190, right: 901, weight: Weight(1881)
Edge { left: 824, right: 901, weight: Weight(1483)
Edge { left: 407, right: 852, weight: Weight(2492)
Edge { left: 361, right: 407, weight: Weight(2136)
Edge { left: 360, right: 361, weight: Weight(1273)
Edge { left: 360, right: 365, weight: Weight(1278)
Edge { left: 163, right: 360, weight: Weight(1596)
Edge { left: 455, right: 982, weight: Weight(2851)
Edge { left: 312, right: 314, weight: Weight(2981)
Edge { left: 163, right: 502, weight: Weight(3181)
Edge { left: 425, right: 502, weight: Weight(2470)
Edge { left: 490, right: 805, weight: Weight(3285)
Edge { left: 251, right: 698, weight: Weight(3325)
Edge { left: 251, right: 755, weight: Weight(2685)
Edge { left: 180, right: 755, weight: Weight(2052)
Edge { left: 54, right: 180, weight: Weight(1627)
Edge { left: 54, right: 293, weight: Weight(1749)
Edge { left: 293, right: 483, weight: Weight(874)
Edge { left: 483, right: 855, weight: Weight(758)
Edge { left: 591, right: 855, weight: Weight(449)
Edge { left: 494, right: 591, weight: Weight(1730)
Edge { left: 54, right: 926, weight: Weight(1833)
Edge { left: 196, right: 855, weight: Weight(1957)
Edge { left: 376, right: 926, weight: Weight(2209)
Edge { left: 26, right: 502, weight: Weight(3347)
Edge { left: 26, right: 688, weight: Weight(285)
Edge { left: 390, right: 688, weight: Weight(1799)
Edge { left: 390, right: 957, weight: Weight(80)
Edge { left: 637, right: 688, weight: Weight(2869)
Edge { left: 79, right: 637, weight: Weight(2552)
Edge { left: 79, right: 406, weight: Weight(1827)
Edge { left: 79, right: 133, weight: Weight(2782)
Edge { left: 250, right: 637, weight: Weight(2799)
Edge { left: 250, right: 433, weight: Weight(3044)
Edge { left: 528, right: 867, weight: Weight(3362)
Edge { left: 167, right: 787, weight: Weight(3455)
Edge { left: 659, right: 787, weight: Weight(2895)
Edge { left: 659, right: 721, weight: Weight(1631)
Edge { left: 526, right: 721, weight: Weight(2120)
Edge { left: 526, right: 696, weight: Weight(2953)
Edge { left: 696, right: 841, weight: Weight(1585)
Edge { left: 829, right: 841, weight: Weight(2245)
Edge { left: 620, right: 787, weight: Weight(3131)
Edge { left: 106, right: 620, weight: Weight(2459)
Edge { left: 101, right: 106, weight: Weight(1986)
Edge { left: 101, right: 469, weight: Weight(1664)
Edge { left: 469, right: 615, weight: Weight(719)
Edge { left: 58, right: 615, weight: Weight(3033)
Edge { left: 58, right: 679, weight: Weight(1397)
Edge { left: 651, right: 679, weight: Weight(1960)
Edge { left: 58, right: 129, weight: Weight(2704)
Edge { left: 829, right: 996, weight: Weight(3179)
Edge { left: 621, right: 996, weight: Weight(2250)
Edge { left: 269, right: 621, weight: Weight(1884)
Edge { left: 269, right: 555, weight: Weight(1534)
Edge { left: 269, right: 837, weight: Weight(1811)
Edge { left: 575, right: 837, weight: Weight(2679)
Edge { left: 222, right: 841, weight: Weight(3187)
Edge { left: 222, right: 930, weight: Weight(1369)
Edge { left: 71, right: 101, weight: Weight(3328)
Edge { left: 71, right: 366, weight: Weight(555)
Edge { left: 280, right: 366, weight: Weight(1165)
Edge { left: 366, right: 842, weight: Weight(1702)
Edge { left: 369, right: 842, weight: Weight(1028)
Edge { left: 369, right: 665, weight: Weight(476)
Edge { left: 665, right: 832, weight: Weight(1527)
Edge { left: 265, right: 280, weight: Weight(1782)
Edge { left: 60, right: 265, weight: Weight(1112)
Edge { left: 265, right: 501, weight: Weight(1546)
Edge { left: 308, right: 501, weight: Weight(2059)
Edge { left: 60, right: 336, weight: Weight(2511)
Edge { left: 336, right: 697, weight: Weight(1940)
Edge { left: 125, right: 697, weight: Weight(1677)
Edge { left: 92, right: 125, weight: Weight(803)
Edge { left: 92, right: 975, weight: Weight(1584)
Edge { left: 125, right: 793, weight: Weight(1735)
Edge { left: 746, right: 793, weight: Weight(1093)
Edge { left: 763, right: 975, weight: Weight(2232)
Edge { left: 866, right: 975, weight: Weight(2406)
Edge { left: 866, right: 978, weight: Weight(436)
Edge { left: 113, right: 978, weight: Weight(1527)
Edge { left: 113, right: 686, weight: Weight(1529)
Edge { left: 189, right: 978, weight: Weight(1630)
Edge { left: 113, right: 844, weight: Weight(1916)
Edge { left: 492, right: 686, weight: Weight(2378)
Edge { left: 492, right: 924, weight: Weight(2522)
Edge { left: 742, right: 930, weight: Weight(3330)
Edge { left: 372, right: 742, weight: Weight(2849)
Edge { left: 372, right: 889, weight: Weight(3461)
Edge { left: 220, right: 889, weight: Weight(2215)
Edge { left: 220, right: 233, weight: Weight(1542)
Edge { left: 220, right: 663, weight: Weight(2533)
Edge { left: 347, right: 501, weight: Weight(3468)
Edge { left: 494, right: 840, weight: Weight(3510)
Edge { left: 840, right: 883, weight: Weight(2672)
Edge { left: 578, right: 883, weight: Weight(993)
Edge { left: 883, right: 911, weight: Weight(2857)
Edge { left: 911, right: 960, weight: Weight(2365)
Edge { left: 307, right: 960, weight: Weight(627)
Edge { left: 307, right: 925, weight: Weight(1556)
Edge { left: 227, right: 925, weight: Weight(1588)
Edge { left: 187, right: 227, weight: Weight(2454)
Edge { left: 227, right: 884, weight: Weight(2748)
Edge { left: 648, right: 884, weight: Weight(957)
Edge { left: 749, right: 898, weight: Weight(3522)
Edge { left: 724, right: 898, weight: Weight(2573)
Edge { left: 636, right: 724, weight: Weight(1460)
Edge { left: 724, right: 887, weight: Weight(2002)
Edge { left: 786, right: 887, weight: Weight(1898)
Edge { left: 520, right: 786, weight: Weight(1388)
Edge { left: 382, right: 786, weight: Weight(1761)
Edge { left: 515, right: 520, weight: Weight(1906)
Edge { left: 520, right: 892, weight: Weight(2505)
Edge { left: 415, right: 892, weight: Weight(2207)
Edge { left: 415, right: 977, weight: Weight(2355)
Edge { left: 858, right: 977, weight: Weight(2819)
Edge { left: 382, right: 603, weight: Weight(2849)
